Image_Id,BLB,BS,HRL,LB,LS,NBLS,RH,SB,Label
image_03862,0,1,0,0,0,0,0,0,1
image_04652,0,1,0,0,0,0,0,0,1
image_01174,0,0,0,0,0,0,1,0,6
image_04516,0,1,0,0,0,0,0,0,1
image_02805,0,0,0,1,0,0,0,0,3
image_01548,0,0,0,0,0,1,0,0,5
image_05118,1,0,0,0,0,0,0,0,0
image_05026,1,0,0,0,0,0,0,0,0
image_04410,0,1,0,0,0,0,0,0,1
image_04949,1,0,0,0,0,0,0,0,0
image_02684,0,0,0,1,0,0,0,0,3
image_03135,0,0,0,1,0,0,0,0,3
image_02557,0,0,0,1,0,0,0,0,3
image_02303,0,0,0,0,1,0,0,0,4
image_04600,0,1,0,0,0,0,0,0,1
image_04630,0,1,0,0,0,0,0,0,1
image_04038,0,1,0,0,0,0,0,0,1
image_02869,0,0,0,1,0,0,0,0,3
image_03818,0,0,1,0,0,0,0,0,2
image_00215,0,0,0,0,0,0,0,1,7
image_00726,0,0,0,0,0,0,0,1,7
image_03034,0,0,0,1,0,0,0,0,3
image_00910,0,0,0,0,0,0,1,0,6
image_02448,0,0,0,1,0,0,0,0,3
image_01133,0,0,0,0,0,0,1,0,6
image_03604,0,0,1,0,0,0,0,0,2
image_03652,0,0,1,0,0,0,0,0,2
image_03305,0,0,0,1,0,0,0,0,3
image_02841,0,0,0,1,0,0,0,0,3
image_04483,0,1,0,0,0,0,0,0,1
image_02152,0,0,0,0,1,0,0,0,4
image_03361,0,0,1,0,0,0,0,0,2
image_01782,0,0,0,0,0,1,0,0,5
image_01804,0,0,0,0,0,1,0,0,5
image_03165,0,0,0,1,0,0,0,0,3
image_00199,0,0,0,0,0,0,0,1,7
image_00153,0,0,0,0,0,0,0,1,7
image_03499,0,0,1,0,0,0,0,0,2
image_00534,0,0,0,0,0,0,0,1,7
image_03024,0,0,0,1,0,0,0,0,3
image_04718,1,0,0,0,0,0,0,0,0
image_01142,0,0,0,0,0,0,1,0,6
image_03038,0,0,0,1,0,0,0,0,3
image_04943,1,0,0,0,0,0,0,0,0
image_02134,0,0,0,0,1,0,0,0,4
image_05150,1,0,0,0,0,0,0,0,0
image_04196,0,1,0,0,0,0,0,0,1
image_04570,0,1,0,0,0,0,0,0,1
image_01176,0,0,0,0,0,0,1,0,6
image_01973,0,0,0,0,1,0,0,0,4
image_00178,0,0,0,0,0,0,0,1,7
image_02893,0,0,0,1,0,0,0,0,3
image_04140,0,1,0,0,0,0,0,0,1
image_03794,0,0,1,0,0,0,0,0,2
image_02772,0,0,0,1,0,0,0,0,3
image_03860,0,1,0,0,0,0,0,0,1
image_04408,0,1,0,0,0,0,0,0,1
image_01241,0,0,0,0,0,0,1,0,6
image_04804,1,0,0,0,0,0,0,0,0
image_03906,0,1,0,0,0,0,0,0,1
image_01586,0,0,0,0,0,1,0,0,5
image_03055,0,0,0,1,0,0,0,0,3
image_03733,0,0,1,0,0,0,0,0,2
image_04732,1,0,0,0,0,0,0,0,0
image_03741,0,0,1,0,0,0,0,0,2
image_03413,0,0,1,0,0,0,0,0,2
image_00515,0,0,0,0,0,0,0,1,7
image_01340,0,0,0,0,0,0,1,0,6
image_04676,1,0,0,0,0,0,0,0,0
image_01098,0,0,0,0,0,0,1,0,6
image_02790,0,0,0,1,0,0,0,0,3
image_04507,0,1,0,0,0,0,0,0,1
image_01582,0,0,0,0,0,1,0,0,5
image_02182,0,0,0,0,1,0,0,0,4
image_01222,0,0,0,0,0,0,1,0,6
image_02011,0,0,0,0,1,0,0,0,4
image_02068,0,0,0,0,1,0,0,0,4
image_04686,1,0,0,0,0,0,0,0,0
image_02855,0,0,0,1,0,0,0,0,3
image_03500,0,0,1,0,0,0,0,0,2
image_03640,0,0,1,0,0,0,0,0,2
image_02000,0,0,0,0,1,0,0,0,4
image_04083,0,1,0,0,0,0,0,0,1
image_01407,0,0,0,0,0,0,1,0,6
image_02045,0,0,0,0,1,0,0,0,4
image_03299,0,0,0,1,0,0,0,0,3
image_03232,0,0,0,1,0,0,0,0,3
image_01461,0,0,0,0,0,0,1,0,6
image_03804,0,0,1,0,0,0,0,0,2
image_02924,0,0,0,1,0,0,0,0,3
image_04284,0,1,0,0,0,0,0,0,1
image_03598,0,0,1,0,0,0,0,0,2
image_01385,0,0,0,0,0,0,1,0,6
image_00429,0,0,0,0,0,0,0,1,7
image_01307,0,0,0,0,0,0,1,0,6
image_01276,0,0,0,0,0,0,1,0,6
image_01045,0,0,0,0,0,0,1,0,6
image_02773,0,0,0,1,0,0,0,0,3
image_01989,0,0,0,0,1,0,0,0,4
image_01368,0,0,0,0,0,0,1,0,6
image_02418,0,0,0,1,0,0,0,0,3
image_03845,0,1,0,0,0,0,0,0,1
image_01860,0,0,0,0,1,0,0,0,4
image_00933,0,0,0,0,0,0,1,0,6
image_05124,1,0,0,0,0,0,0,0,0
image_04612,0,1,0,0,0,0,0,0,1
image_02877,0,0,0,1,0,0,0,0,3
image_01555,0,0,0,0,0,1,0,0,5
image_02798,0,0,0,1,0,0,0,0,3
image_04186,0,1,0,0,0,0,0,0,1
image_00449,0,0,0,0,0,0,0,1,7
image_03636,0,0,1,0,0,0,0,0,2
image_04341,0,1,0,0,0,0,0,0,1
image_01879,0,0,0,0,1,0,0,0,4
image_03566,0,0,1,0,0,0,0,0,2
image_03527,0,0,1,0,0,0,0,0,2
image_04892,1,0,0,0,0,0,0,0,0
image_02930,0,0,0,1,0,0,0,0,3
image_00961,0,0,0,0,0,0,1,0,6
image_01707,0,0,0,0,0,1,0,0,5
image_02690,0,0,0,1,0,0,0,0,3
image_04531,0,1,0,0,0,0,0,0,1
image_02507,0,0,0,1,0,0,0,0,3
image_00786,0,0,0,0,0,0,0,1,7
image_01699,0,0,0,0,0,1,0,0,5
image_03386,0,0,1,0,0,0,0,0,2
image_03597,0,0,1,0,0,0,0,0,2
image_01979,0,0,0,0,1,0,0,0,4
image_00502,0,0,0,0,0,0,0,1,7
image_04560,0,1,0,0,0,0,0,0,1
image_01791,0,0,0,0,0,1,0,0,5
image_04737,1,0,0,0,0,0,0,0,0
image_04053,0,1,0,0,0,0,0,0,1
image_02759,0,0,0,1,0,0,0,0,3
image_04519,0,1,0,0,0,0,0,0,1
image_00059,0,0,0,0,0,0,0,1,7
image_00054,0,0,0,0,0,0,0,1,7
image_04018,0,1,0,0,0,0,0,0,1
image_01908,0,0,0,0,1,0,0,0,4
image_04568,0,1,0,0,0,0,0,0,1
image_00047,0,0,0,0,0,0,0,1,7
image_04759,1,0,0,0,0,0,0,0,0
image_02591,0,0,0,1,0,0,0,0,3
image_00683,0,0,0,0,0,0,0,1,7
image_00620,0,0,0,0,0,0,0,1,7
image_00768,0,0,0,0,0,0,0,1,7
image_03821,0,0,1,0,0,0,0,0,2
image_03651,0,0,1,0,0,0,0,0,2
image_03704,0,0,1,0,0,0,0,0,2
image_02427,0,0,0,1,0,0,0,0,3
image_00398,0,0,0,0,0,0,0,1,7
image_01778,0,0,0,0,0,1,0,0,5
image_02763,0,0,0,1,0,0,0,0,3
image_04661,1,0,0,0,0,0,0,0,0
image_03615,0,0,1,0,0,0,0,0,2
image_01623,0,0,0,0,0,1,0,0,5
image_00466,0,0,0,0,0,0,0,1,7
image_01135,0,0,0,0,0,0,1,0,6
image_00921,0,0,0,0,0,0,1,0,6
image_02106,0,0,0,0,1,0,0,0,4
image_03442,0,0,1,0,0,0,0,0,2
image_02916,0,0,0,1,0,0,0,0,3
image_02580,0,0,0,1,0,0,0,0,3
image_04599,0,1,0,0,0,0,0,0,1
image_04339,0,1,0,0,0,0,0,0,1
image_04810,1,0,0,0,0,0,0,0,0
image_01549,0,0,0,0,0,1,0,0,5
image_01870,0,0,0,0,1,0,0,0,4
image_03011,0,0,0,1,0,0,0,0,3
image_01851,0,0,0,0,1,0,0,0,4
image_00480,0,0,0,0,0,0,0,1,7
image_00360,0,0,0,0,0,0,0,1,7
image_00739,0,0,0,0,0,0,0,1,7
image_04832,1,0,0,0,0,0,0,0,0
image_01073,0,0,0,0,0,0,1,0,6
image_00104,0,0,0,0,0,0,0,1,7
image_05121,1,0,0,0,0,0,0,0,0
image_01078,0,0,0,0,0,0,1,0,6
image_04820,1,0,0,0,0,0,0,0,0
image_04733,1,0,0,0,0,0,0,0,0
image_03477,0,0,1,0,0,0,0,0,2
image_04071,0,1,0,0,0,0,0,0,1
image_01913,0,0,0,0,1,0,0,0,4
image_03726,0,0,1,0,0,0,0,0,2
image_02092,0,0,0,0,1,0,0,0,4
image_01094,0,0,0,0,0,0,1,0,6
image_03893,0,1,0,0,0,0,0,0,1
image_01008,0,0,0,0,0,0,1,0,6
image_02987,0,0,0,1,0,0,0,0,3
image_03984,0,1,0,0,0,0,0,0,1
image_02887,0,0,0,1,0,0,0,0,3
image_05158,1,0,0,0,0,0,0,0,0
image_04345,0,1,0,0,0,0,0,0,1
image_00313,0,0,0,0,0,0,0,1,7
image_04049,0,1,0,0,0,0,0,0,1
image_04682,1,0,0,0,0,0,0,0,0
image_00156,0,0,0,0,0,0,0,1,7
image_04932,1,0,0,0,0,0,0,0,0
image_03707,0,0,1,0,0,0,0,0,2
image_00330,0,0,0,0,0,0,0,1,7
image_02184,0,0,0,0,1,0,0,0,4
image_00574,0,0,0,0,0,0,0,1,7
image_00711,0,0,0,0,0,0,0,1,7
image_03960,0,1,0,0,0,0,0,0,1
image_01203,0,0,0,0,0,0,1,0,6
image_04451,0,1,0,0,0,0,0,0,1
image_03962,0,1,0,0,0,0,0,0,1
image_02641,0,0,0,1,0,0,0,0,3
image_03540,0,0,1,0,0,0,0,0,2
image_01316,0,0,0,0,0,0,1,0,6
image_03606,0,0,1,0,0,0,0,0,2
image_04456,0,1,0,0,0,0,0,0,1
image_02044,0,0,0,0,1,0,0,0,4
image_00321,0,0,0,0,0,0,0,1,7
image_04072,0,1,0,0,0,0,0,0,1
image_03998,0,1,0,0,0,0,0,0,1
image_00725,0,0,0,0,0,0,0,1,7
image_03768,0,0,1,0,0,0,0,0,2
image_00971,0,0,0,0,0,0,1,0,6
image_01999,0,0,0,0,1,0,0,0,4
image_00719,0,0,0,0,0,0,0,1,7
image_01344,0,0,0,0,0,0,1,0,6
image_04907,1,0,0,0,0,0,0,0,0
image_00403,0,0,0,0,0,0,0,1,7
image_04138,0,1,0,0,0,0,0,0,1
image_00393,0,0,0,0,0,0,0,1,7
image_01833,0,0,0,0,0,1,0,0,5
image_03830,0,0,1,0,0,0,0,0,2
image_00746,0,0,0,0,0,0,0,1,7
image_03990,0,1,0,0,0,0,0,0,1
image_04149,0,1,0,0,0,0,0,0,1
image_00345,0,0,0,0,0,0,0,1,7
image_03466,0,0,1,0,0,0,0,0,2
image_00172,0,0,0,0,0,0,0,1,7
image_04852,1,0,0,0,0,0,0,0,0
image_01336,0,0,0,0,0,0,1,0,6
image_03529,0,0,1,0,0,0,0,0,2
image_05004,1,0,0,0,0,0,0,0,0
image_00024,0,0,0,0,0,0,0,1,7
image_03931,0,1,0,0,0,0,0,0,1
image_02951,0,0,0,1,0,0,0,0,3
image_03457,0,0,1,0,0,0,0,0,2
image_03564,0,0,1,0,0,0,0,0,2
image_03949,0,1,0,0,0,0,0,0,1
image_03891,0,1,0,0,0,0,0,0,1
image_05183,1,0,0,0,0,0,0,0,0
image_00157,0,0,0,0,0,0,0,1,7
image_03552,0,0,1,0,0,0,0,0,2
image_00994,0,0,0,0,0,0,1,0,6
image_01750,0,0,0,0,0,1,0,0,5
image_03398,0,0,1,0,0,0,0,0,2
image_02347,0,0,0,0,1,0,0,0,4
image_05079,1,0,0,0,0,0,0,0,0
image_00685,0,0,0,0,0,0,0,1,7
image_00338,0,0,0,0,0,0,0,1,7
image_03884,0,1,0,0,0,0,0,0,1
image_04881,1,0,0,0,0,0,0,0,0
image_00218,0,0,0,0,0,0,0,1,7
image_04238,0,1,0,0,0,0,0,0,1
image_04579,0,1,0,0,0,0,0,0,1
image_00998,0,0,0,0,0,0,1,0,6
image_01360,0,0,0,0,0,0,1,0,6
image_01093,0,0,0,0,0,0,1,0,6
image_03518,0,0,1,0,0,0,0,0,2
image_04901,1,0,0,0,0,0,0,0,0
image_01355,0,0,0,0,0,0,1,0,6
image_01293,0,0,0,0,0,0,1,0,6
image_02333,0,0,0,0,1,0,0,0,4
image_02864,0,0,0,1,0,0,0,0,3
image_02261,0,0,0,0,1,0,0,0,4
image_00854,0,0,0,0,0,0,1,0,6
image_01715,0,0,0,0,0,1,0,0,5
image_03313,0,0,0,1,0,0,0,0,3
image_03264,0,0,0,1,0,0,0,0,3
image_01510,0,0,0,0,0,1,0,0,5
image_01055,0,0,0,0,0,0,1,0,6
image_01635,0,0,0,0,0,1,0,0,5
image_01915,0,0,0,0,1,0,0,0,4
image_01143,0,0,0,0,0,0,1,0,6
image_01417,0,0,0,0,0,0,1,0,6
image_04155,0,1,0,0,0,0,0,0,1
image_04336,0,1,0,0,0,0,0,0,1
image_04741,1,0,0,0,0,0,0,0,0
image_00822,0,0,0,0,0,0,0,1,7
image_04317,0,1,0,0,0,0,0,0,1
image_01006,0,0,0,0,0,0,1,0,6
image_02437,0,0,0,1,0,0,0,0,3
image_00619,0,0,0,0,0,0,0,1,7
image_02188,0,0,0,0,1,0,0,0,4
image_03716,0,0,1,0,0,0,0,0,2
image_03531,0,0,1,0,0,0,0,0,2
image_02983,0,0,0,1,0,0,0,0,3
image_02718,0,0,0,1,0,0,0,0,3
image_04797,1,0,0,0,0,0,0,0,0
image_04433,0,1,0,0,0,0,0,0,1
image_04968,1,0,0,0,0,0,0,0,0
image_01537,0,0,0,0,0,1,0,0,5
image_04629,0,1,0,0,0,0,0,0,1
image_01482,0,0,0,0,0,0,1,0,6
image_03851,0,1,0,0,0,0,0,0,1
image_02251,0,0,0,0,1,0,0,0,4
image_01287,0,0,0,0,0,0,1,0,6
image_03180,0,0,0,1,0,0,0,0,3
image_03215,0,0,0,1,0,0,0,0,3
image_01892,0,0,0,0,1,0,0,0,4
image_05063,1,0,0,0,0,0,0,0,0
image_02867,0,0,0,1,0,0,0,0,3
image_01972,0,0,0,0,1,0,0,0,4
image_01869,0,0,0,0,1,0,0,0,4
image_03300,0,0,0,1,0,0,0,0,3
image_05138,1,0,0,0,0,0,0,0,0
image_01357,0,0,0,0,0,0,1,0,6
image_01033,0,0,0,0,0,0,1,0,6
image_00050,0,0,0,0,0,0,0,1,7
image_00432,0,0,0,0,0,0,0,1,7
image_04058,0,1,0,0,0,0,0,0,1
image_04753,1,0,0,0,0,0,0,0,0
image_02091,0,0,0,0,1,0,0,0,4
image_00102,0,0,0,0,0,0,0,1,7
image_01942,0,0,0,0,1,0,0,0,4
image_03817,0,0,1,0,0,0,0,0,2
image_01509,0,0,0,0,0,1,0,0,5
image_02692,0,0,0,1,0,0,0,0,3
image_01031,0,0,0,0,0,0,1,0,6
image_00539,0,0,0,0,0,0,0,1,7
image_01645,0,0,0,0,0,1,0,0,5
image_01303,0,0,0,0,0,0,1,0,6
image_02115,0,0,0,0,1,0,0,0,4
image_01440,0,0,0,0,0,0,1,0,6
image_04762,1,0,0,0,0,0,0,0,0
image_02571,0,0,0,1,0,0,0,0,3
image_01619,0,0,0,0,0,1,0,0,5
image_00008,0,0,0,0,0,0,0,1,7
image_03440,0,0,1,0,0,0,0,0,2
image_01208,0,0,0,0,0,0,1,0,6
image_00366,0,0,0,0,0,0,0,1,7
image_00987,0,0,0,0,0,0,1,0,6
image_04012,0,1,0,0,0,0,0,0,1
image_01776,0,0,0,0,0,1,0,0,5
image_02029,0,0,0,0,1,0,0,0,4
image_01761,0,0,0,0,0,1,0,0,5
image_04549,0,1,0,0,0,0,0,0,1
image_05046,1,0,0,0,0,0,0,0,0
image_03410,0,0,1,0,0,0,0,0,2
image_02005,0,0,0,0,1,0,0,0,4
image_03595,0,0,1,0,0,0,0,0,2
image_05075,1,0,0,0,0,0,0,0,0
image_02644,0,0,0,1,0,0,0,0,3
image_01827,0,0,0,0,0,1,0,0,5
image_00511,0,0,0,0,0,0,0,1,7
image_03121,0,0,0,1,0,0,0,0,3
image_03539,0,0,1,0,0,0,0,0,2
image_00185,0,0,0,0,0,0,0,1,7
image_03310,0,0,0,1,0,0,0,0,3
image_03233,0,0,0,1,0,0,0,0,3
image_00385,0,0,0,0,0,0,0,1,7
image_02180,0,0,0,0,1,0,0,0,4
image_04950,1,0,0,0,0,0,0,0,0
image_00376,0,0,0,0,0,0,0,1,7
image_01638,0,0,0,0,0,1,0,0,5
image_03161,0,0,0,1,0,0,0,0,3
image_02300,0,0,0,0,1,0,0,0,4
image_04961,1,0,0,0,0,0,0,0,0
image_04883,1,0,0,0,0,0,0,0,0
image_00829,0,0,0,0,0,0,1,0,6
image_02941,0,0,0,1,0,0,0,0,3
image_02052,0,0,0,0,1,0,0,0,4
image_05139,1,0,0,0,0,0,0,0,0
image_03471,0,0,1,0,0,0,0,0,2
image_02135,0,0,0,0,1,0,0,0,4
image_05144,1,0,0,0,0,0,0,0,0
image_03896,0,1,0,0,0,0,0,0,1
image_04435,0,1,0,0,0,0,0,0,1
image_03490,0,0,1,0,0,0,0,0,2
image_02599,0,0,0,1,0,0,0,0,3
image_02925,0,0,0,1,0,0,0,0,3
image_00483,0,0,0,0,0,0,0,1,7
image_04481,0,1,0,0,0,0,0,0,1
image_00530,0,0,0,0,0,0,0,1,7
image_00947,0,0,0,0,0,0,1,0,6
image_02657,0,0,0,1,0,0,0,0,3
image_02639,0,0,0,1,0,0,0,0,3
image_02876,0,0,0,1,0,0,0,0,3
image_00988,0,0,0,0,0,0,1,0,6
image_00625,0,0,0,0,0,0,0,1,7
image_00604,0,0,0,0,0,0,0,1,7
image_00816,0,0,0,0,0,0,0,1,7
image_03098,0,0,0,1,0,0,0,0,3
image_01711,0,0,0,0,0,1,0,0,5
image_02158,0,0,0,0,1,0,0,0,4
image_02244,0,0,0,0,1,0,0,0,4
image_00572,0,0,0,0,0,0,0,1,7
image_02629,0,0,0,1,0,0,0,0,3
image_00486,0,0,0,0,0,0,0,1,7
image_01379,0,0,0,0,0,0,1,0,6
image_05154,1,0,0,0,0,0,0,0,0
image_01460,0,0,0,0,0,0,1,0,6
image_05091,1,0,0,0,0,0,0,0,0
image_03418,0,0,1,0,0,0,0,0,2
image_04184,0,1,0,0,0,0,0,0,1
image_04403,0,1,0,0,0,0,0,0,1
image_01755,0,0,0,0,0,1,0,0,5
image_01243,0,0,0,0,0,0,1,0,6
image_01737,0,0,0,0,0,1,0,0,5
image_01822,0,0,0,0,0,1,0,0,5
image_03365,0,0,1,0,0,0,0,0,2
image_01477,0,0,0,0,0,0,1,0,6
image_04802,1,0,0,0,0,0,0,0,0
image_03522,0,0,1,0,0,0,0,0,2
image_02814,0,0,0,1,0,0,0,0,3
image_04025,0,1,0,0,0,0,0,0,1
image_04642,0,1,0,0,0,0,0,0,1
image_01454,0,0,0,0,0,0,1,0,6
image_01554,0,0,0,0,0,1,0,0,5
image_05090,1,0,0,0,0,0,0,0,0
image_02436,0,0,0,1,0,0,0,0,3
image_02777,0,0,0,1,0,0,0,0,3
image_03603,0,0,1,0,0,0,0,0,2
image_00897,0,0,0,0,0,0,1,0,6
image_01049,0,0,0,0,0,0,1,0,6
image_04391,0,1,0,0,0,0,0,0,1
image_03420,0,0,1,0,0,0,0,0,2
image_04665,1,0,0,0,0,0,0,0,0
image_04746,1,0,0,0,0,0,0,0,0
image_01664,0,0,0,0,0,1,0,0,5
image_03686,0,0,1,0,0,0,0,0,2
image_04259,0,1,0,0,0,0,0,0,1
image_01167,0,0,0,0,0,0,1,0,6
image_03194,0,0,0,1,0,0,0,0,3
image_01327,0,0,0,0,0,0,1,0,6
image_01162,0,0,0,0,0,0,1,0,6
image_02529,0,0,0,1,0,0,0,0,3
image_02851,0,0,0,1,0,0,0,0,3
image_00783,0,0,0,0,0,0,0,1,7
image_00538,0,0,0,0,0,0,0,1,7
image_02218,0,0,0,0,1,0,0,0,4
image_03933,0,1,0,0,0,0,0,0,1
image_00316,0,0,0,0,0,0,0,1,7
image_05069,1,0,0,0,0,0,0,0,0
image_02962,0,0,0,1,0,0,0,0,3
image_01627,0,0,0,0,0,1,0,0,5
image_04401,0,1,0,0,0,0,0,0,1
image_01254,0,0,0,0,0,0,1,0,6
image_02688,0,0,0,1,0,0,0,0,3
image_05082,1,0,0,0,0,0,0,0,0
image_04031,0,1,0,0,0,0,0,0,1
image_01210,0,0,0,0,0,0,1,0,6
image_00006,0,0,0,0,0,0,0,1,7
image_04436,0,1,0,0,0,0,0,0,1
image_02314,0,0,0,0,1,0,0,0,4
image_02719,0,0,0,1,0,0,0,0,3
image_01835,0,0,0,0,0,1,0,0,5
image_02915,0,0,0,1,0,0,0,0,3
image_00821,0,0,0,0,0,0,0,1,7
image_03618,0,0,1,0,0,0,0,0,2
image_02894,0,0,0,1,0,0,0,0,3
image_02410,0,0,0,1,0,0,0,0,3
image_02603,0,0,0,1,0,0,0,0,3
image_04422,0,1,0,0,0,0,0,0,1
image_02229,0,0,0,0,1,0,0,0,4
image_04107,0,1,0,0,0,0,0,0,1
image_02888,0,0,0,1,0,0,0,0,3
image_02605,0,0,0,1,0,0,0,0,3
image_02512,0,0,0,1,0,0,0,0,3
image_02598,0,0,0,1,0,0,0,0,3
image_00510,0,0,0,0,0,0,0,1,7
image_04562,0,1,0,0,0,0,0,0,1
image_04940,1,0,0,0,0,0,0,0,0
image_01519,0,0,0,0,0,1,0,0,5
image_02984,0,0,0,1,0,0,0,0,3
image_04308,0,1,0,0,0,0,0,0,1
image_04490,0,1,0,0,0,0,0,0,1
image_01347,0,0,0,0,0,0,1,0,6
image_00892,0,0,0,0,0,0,1,0,6
image_04101,0,1,0,0,0,0,0,0,1
image_03210,0,0,0,1,0,0,0,0,3
image_02727,0,0,0,1,0,0,0,0,3
image_00020,0,0,0,0,0,0,0,1,7
image_04117,0,1,0,0,0,0,0,0,1
image_03346,0,0,1,0,0,0,0,0,2
image_02953,0,0,0,1,0,0,0,0,3
image_02376,0,0,0,0,1,0,0,0,4
image_01810,0,0,0,0,0,1,0,0,5
image_03808,0,0,1,0,0,0,0,0,2
image_03061,0,0,0,1,0,0,0,0,3
image_02440,0,0,0,1,0,0,0,0,3
image_00294,0,0,0,0,0,0,0,1,7
image_03169,0,0,0,1,0,0,0,0,3
image_00253,0,0,0,0,0,0,0,1,7
image_01924,0,0,0,0,1,0,0,0,4
image_04356,0,1,0,0,0,0,0,0,1
image_01964,0,0,0,0,1,0,0,0,4
image_01557,0,0,0,0,0,1,0,0,5
image_04301,0,1,0,0,0,0,0,0,1
image_02439,0,0,0,1,0,0,0,0,3
image_01820,0,0,0,0,0,1,0,0,5
image_05067,1,0,0,0,0,0,0,0,0
image_04381,0,1,0,0,0,0,0,0,1
image_01221,0,0,0,0,0,0,1,0,6
image_04276,0,1,0,0,0,0,0,0,1
image_01575,0,0,0,0,0,1,0,0,5
image_03473,0,0,1,0,0,0,0,0,2
image_01967,0,0,0,0,1,0,0,0,4
image_04905,1,0,0,0,0,0,0,0,0
image_00198,0,0,0,0,0,0,0,1,7
image_05003,1,0,0,0,0,0,0,0,0
image_03793,0,0,1,0,0,0,0,0,2
image_01185,0,0,0,0,0,0,1,0,6
image_05110,1,0,0,0,0,0,0,0,0
image_04118,0,1,0,0,0,0,0,0,1
image_04743,1,0,0,0,0,0,0,0,0
image_03030,0,0,0,1,0,0,0,0,3
image_01015,0,0,0,0,0,0,1,0,6
image_04679,1,0,0,0,0,0,0,0,0
image_03267,0,0,0,1,0,0,0,0,3
image_04834,1,0,0,0,0,0,0,0,0
image_01499,0,0,0,0,0,1,0,0,5
image_00079,0,0,0,0,0,0,0,1,7
image_01583,0,0,0,0,0,1,0,0,5
image_00541,0,0,0,0,0,0,0,1,7
image_02480,0,0,0,1,0,0,0,0,3
image_03378,0,0,1,0,0,0,0,0,2
image_04188,0,1,0,0,0,0,0,0,1
image_00826,0,0,0,0,0,0,1,0,6
image_02305,0,0,0,0,1,0,0,0,4
image_00734,0,0,0,0,0,0,0,1,7
image_01931,0,0,0,0,1,0,0,0,4
image_00462,0,0,0,0,0,0,0,1,7
image_02416,0,0,0,1,0,0,0,0,3
image_01041,0,0,0,0,0,0,1,0,6
image_04722,1,0,0,0,0,0,0,0,0
image_03727,0,0,1,0,0,0,0,0,2
image_01324,0,0,0,0,0,0,1,0,6
image_00736,0,0,0,0,0,0,0,1,7
image_01685,0,0,0,0,0,1,0,0,5
image_00941,0,0,0,0,0,0,1,0,6
image_04856,1,0,0,0,0,0,0,0,0
image_00750,0,0,0,0,0,0,0,1,7
image_01062,0,0,0,0,0,0,1,0,6
image_03961,0,1,0,0,0,0,0,0,1
image_05040,1,0,0,0,0,0,0,0,0
image_04114,0,1,0,0,0,0,0,0,1
image_00802,0,0,0,0,0,0,0,1,7
image_04382,0,1,0,0,0,0,0,0,1
image_00118,0,0,0,0,0,0,0,1,7
image_00765,0,0,0,0,0,0,0,1,7
image_00496,0,0,0,0,0,0,0,1,7
image_00956,0,0,0,0,0,0,1,0,6
